Regions,Sectors,PathTimes,GROWTH_KAP,GROWTH_OUT,EULER_INTEGRAND,EULER_RATIO
GLD,A,0,-0.049976885781933045,,0.0010745581128189068,
GLD,B,0,-0.049940875595557266,,0.008250062618415327,
GLD,C,0,0.6269961887743993,,0.02040065434374209,
GLD,D,0,-0.04989254707931634,,0.01420659745630851,
GLD,E,0,-0.04987002391794371,,0.015080215304302862,
GLD,F,0,-0.04997840653430119,,0.001143676742653666,
GLD,G,0,-0.04998117551235093,,0.0007701825364446119,
GLD,H,0,-0.049983016196234464,,0.001237142306222949,
GLD,I,0,-0.049953564334495826,,0.011891992937590516,
GLD,J,0,-0.04997655029231329,,0.0009544222776242297,
GLD,K,0,-0.0499780400451969,,0.0009747276491722989,
GLD,L,0,0.42892050774125035,,0.048645812351845515,
GLD,M,0,-0.04994957794856825,,0.00566738593943105,
GLD,N,0,-0.04998502211988465,,0.001250870304557874,
GLD,O,0,-0.049978216305160195,,0.0010960437996150765,
GLD,P,0,-0.04998115879042042,,0.0009610432243709644,
GLD,Q,0,-0.04997813108564708,,0.0009907754769505834,
GLD,R,0,-0.04996518384761539,,0.00042534325191362376,
GLD,S,0,-0.04998425694587705,,0.0014655068435682874,
GLD,A,1,-0.04997577867204622,1.1562002469797668,0.001278581155385873,2.241804070675166
GLD,B,1,-0.009696001654998914,0.45699828849446494,0.02247788153604115,2.5045498773387327
GLD,C,1,0.739829267538146,0.6329956714058381,0.019625935060891886,0.8682089642418479
GLD,D,1,0.1934773353652482,0.38904565271228625,0.021502819141135283,1.4163545119776755
GLD,E,1,0.5767378310057744,4.342715522390268,0.01533458335035697,0.9359644951321405
GLD,F,1,-0.04997737449517094,0.34485839222191567,0.0012906399492548576,2.1220455015493767
GLD,G,1,-0.04998027124722006,0.690600605865057,0.0008544676813624075,2.0810524557411956
GLD,H,1,-0.04998220330120041,0.25616442541981616,0.001254299701390345,1.8978670332173164
GLD,I,1,0.06661779710596391,24.910387619560403,0.022941109013922184,1.8298573923757986
GLD,J,1,-0.04997542551695929,4.543768115446209,0.0013993758742436384,2.7755155363424135
GLD,K,1,-0.04997698841268222,0.20630638201726656,0.0011047446203737528,2.13091898164962
GLD,L,1,0.40894034756820036,0.4109776241772112,0.04759080121510072,2.3404145549253337
GLD,M,1,-0.049930161840169004,0.7542189891115577,0.013665595015483704,2.4373601315145237
GLD,N,1,-0.04998430426313861,0.42570028857333275,0.001359183271072647,2.0388999963655086
GLD,O,1,-0.04997717314349124,0.43729678609245914,0.001220799900584272,2.0937388358965667
GLD,P,1,-0.04998025539936252,0.1891716950641567,0.001083345925444494,2.1195238121465754
GLD,Q,1,-0.049977083044345366,0.1437244310790179,0.001119553005873944,2.124433094753022
GLD,R,1,-0.049963506205654255,1.6565038551112103,0.0008926512312471835,4.094483592301589
GLD,S,1,-0.04998350427289122,0.3333608723896277,0.0014428549459334526,1.8428933784933494
GLD,A,2,-0.04997446397088351,0.2791610620622494,0.00102131041492994,1.5239559934197051
GLD,B,2,0.006297449455652627,2.396590377150847,0.02341580595424958,0.9427985506274991
GLD,C,2,0.2883185263563348,0.6503115441499611,0.025960124024549443,1.0075324392471952
GLD,D,2,0.022810914822149184,0.31645601228308273,0.026721814520036878,1.0671434389456318
GLD,E,2,0.21373748894268427,3.579649364412324,0.03588260782205277,1.3892710276164804
GLD,F,2,-0.04997614642914149,0.28468471867052564,0.0010299523621860479,1.52273637108221
GLD,G,2,-0.049979200973302544,0.14147728864349451,0.0006548936893920004,1.4571868293137475
GLD,H,2,-0.04998123753623263,0.3596046863120612,0.000993410916576791,1.5030971043974912
GLD,I,2,0.06277574282439023,0.5409927130156031,0.025405901744964675,0.9579627924090668
GLD,J,2,-0.04997409153978905,0.11915016405040477,0.0010704537806245742,1.4550783693658227
GLD,K,2,-0.049975739597800904,0.22954709331470535,0.0008901034452716684,1.5371909693598669
GLD,L,2,0.16110830032726361,0.35873184205492004,0.03732942369765048,1.5214266739327251
GLD,M,2,-0.049943425491666936,0.38271241811385187,0.013961787624981216,0.9698766412322478
GLD,N,2,-0.04998345252186557,0.5497999566647039,0.001061943929832008,1.4873651356312632
GLD,O,2,-0.04997593417700042,0.43830769122138113,0.0010220724097242705,1.5969234186595214
GLD,P,2,-0.04997918398811141,0.2683076592852941,0.0008890719126312565,1.5659907596332852
GLD,Q,2,-0.04997583937176271,0.28499844955496806,0.0009010704731251145,1.535093736151704
GLD,R,2,-0.049961526455973446,6.8085225313901026,0.0010306302634111508,2.242915675766477
GLD,S,2,-0.04998260907756642,0.35624838161239647,0.0010827284419617736,1.4269348153724326
GLD,A,3,-0.04997310280775724,0.14860872183568058,0.000774930414194767,1.4450071475897213
GLD,B,3,0.7097651158084277,18.681892555147506,0.009621959085362538,0.3700207205439023
GLD,C,3,0.1604007446224546,0.3514667923592669,0.02360637844165133,0.9156994916522121
GLD,D,3,0.09908940816567892,0.10697462632603369,0.022929366602044327,0.8824546518955129
GLD,E,3,0.12043396861551332,0.19488111215679102,0.025237580757443097,0.9783390614350811
GLD,F,3,-0.04997487488985253,0.1325427227315724,0.0007974233810187602,1.4757427359758597
GLD,G,3,-0.04997809258743098,0.13679135097781955,0.0004935880306410733,1.4334701128920728
GLD,H,3,-0.04998023748321164,0.13266214829053322,0.0007511855870085407,1.4295826528723827
GLD,I,3,0.12178984279287147,0.18739809570499033,0.022714469088731384,0.8784642923029672
GLD,J,3,-0.04997271051087984,0.06254100744727349,0.0008022743017297141,1.4259116019470928
GLD,K,3,-0.04997444652842261,0.08368203778757555,0.0006813679465279526,1.4584325770148365
GLD,L,3,0.11634513170139764,0.14553479972393052,0.025202172261599202,0.9618617434752742
GLD,M,3,-0.04977398485197492,0.1397145311090533,0.014320489036883773,0.9719184018824562
GLD,N,3,-0.04998257052541754,0.14310353117146954,0.0008025882593378659,1.4381337013308968
GLD,O,3,-0.04997465139158908,0.16067894300454721,0.0007736893006462784,1.4381918942317036
GLD,P,3,-0.049978074533947814,0.08582467308290717,0.0006756753957688445,1.4465024566170648
GLD,Q,3,-0.049974551616891946,0.07847366968819262,0.0006886905498150748,1.4554777434709731
GLD,R,3,-0.0499594765897031,0.045092598950021,0.0007778005636429348,1.43677571996063
GLD,S,3,-0.04998168213863414,0.14408613638333576,0.0008017749435028801,1.4086381528743797
GLD,A,4,-0.049971678894566336,-0.10416026727162625,0.0003260488427669693,0.8027430675672909
GLD,B,4,3.619979489436865,-0.4249075397593741,-0.07465324485409755,-3.991186253008583
GLD,C,4,-0.04944877672401256,-0.3087777254647005,0.5955236635369283,32.10678342635245
GLD,D,4,-0.04890777793194373,0.00014095685364669757,0.5569003195951262,29.833902607700256
GLD,E,4,-0.049626814278407434,0.2636388559726935,0.34821934920633024,18.74351538106277
GLD,F,4,-0.04997355083193611,0.14445161755930933,0.0003857614702560937,0.9230970836128545
GLD,G,4,-0.049976941944017104,0.3282619611924796,0.0004222120686532825,1.629857820089899
GLD,H,4,-0.049979202459266354,-0.0023173570174039133,0.0005664254037950405,1.4215753495630359
GLD,I,4,-0.04811839539901041,0.0025259064917009777,0.6125545746651636,33.0069681552894
GLD,J,4,-0.049971264518653136,0.06871697345241892,0.0004107971081556408,0.9763319311064453
GLD,K,4,-0.04997309820092786,0.029608090062509043,0.00039648984473277573,1.1103075394627273
GLD,L,4,-0.04746615131717916,0.05852950707051862,0.5158330610034665,27.49440060703778
GLD,M,4,-0.04996975390029196,0.12283708298966428,0.2539078108222133,17.211797516995954
GLD,N,4,-0.049981658893383116,0.046132165871031576,0.000419169780453461,0.995615127314071
GLD,O,4,-0.04997331048613683,0.0425643222125254,0.0005256854781227544,1.291665155241039
GLD,P,4,-0.049976922774858934,0.04953767452960052,0.00036072675101139057,1.017722012998761
GLD,Q,4,-0.049973205132427485,0.04412128713573943,0.0003593156794126668,0.9949848388856306
GLD,R,4,-0.0499573559100193,0.05560972525913788,0.0003675633368902443,0.9015424554139039
GLD,S,4,-0.04998072372389046,0.032131629022203234,0.0003261740305204193,0.7759868325807447
GLD,A,5,-0.04996913834347591,0.19786311964418857,0.0004130138252522465,-2.5194908990905787
GLD,B,5,-0.049997147035447546,9.660913248605974,0.0012384825107615285,0.10563239705807595
GLD,C,5,0.054558765060067564,0.6406814520450628,0.013714489637764572,0.02079957444467064
GLD,D,5,0.03413177791505053,0.07863387554192276,0.013084830182981923,0.02134080653683188
GLD,E,5,-0.04996259902416326,-0.32796221940968173,0.0057680579543939485,0.01960650992113787
GLD,F,5,-0.04997116670671368,-0.08061671208645738,0.0004207630705303794,-3.0044063529740925
GLD,G,5,-0.04997488370305931,-0.3498886189914583,0.0002542564747877486,10.86176838596458
GLD,H,5,-0.04997733098957829,0.09410156645517329,0.000399437897962056,3.697345392506522
GLD,I,5,0.03300870061512046,0.09538291236040045,0.013057928755900648,0.01932454396028724
GLD,J,5,-0.04996868592820954,-0.03466321142853744,0.0004226399768296128,-3.273173435340343
GLD,K,5,-0.049970683701689285,0.025855480598407442,0.000362530219755567,-4.191659146272086
GLD,L,5,0.013047502540235905,0.0070259555940232424,0.012560608200839691,0.022345463813370367
GLD,M,5,-0.049896058580606834,-0.09125533246171146,0.006612799479283875,0.023970375480653724
GLD,N,5,-0.049980009792117176,0.046570833708252254,0.0004207531678040286,-3.4316267062557113
GLD,O,5,-0.04997091808050835,0.06782046817043563,0.0004003815660815414,-21.21606187105003
GLD,P,5,-0.049974851703403794,0.02020863196854022,0.00035469555614737417,-3.735879616602161
GLD,Q,5,-0.04997080752904473,0.023178828234325217,0.00036344245924565784,-3.463327121264922
GLD,R,5,-0.04995351547844718,-0.03424555981562161,0.0004117277860445473,-2.900211148181675
GLD,S,5,-0.0499789886448535,0.08898596706060889,0.0004281772163408062,-2.440497626159713
GLD,A,6,-0.04996797835511684,0.023255708370392845,0.0007573720605799322,3.4308613128085406
GLD,B,6,-0.04999703630335257,0.03336947868668751,0.0032874779914355535,2.972047024686695
GLD,C,6,0.018938674526077608,0.044096529543658426,0.02451569302998279,2.8522067727055576
GLD,D,6,0.014245588245034718,0.029056931776278917,0.024117518313934924,2.827162529513018
GLD,E,6,-0.04982328729846478,0.0875183445816772,0.01618561085769284,2.8494925694601667
GLD,F,6,-0.049970085983396174,0.019233470242009484,0.0007755097383956198,3.4487381647175512
GLD,G,6,-0.04997393095939446,-0.002730056749613392,0.00047063165935129806,3.463647044465088
GLD,H,6,-0.04997647611357233,0.02299665865590309,0.0007412880330661366,3.4342993253194876
GLD,I,6,0.015988166550817876,0.033212047716282785,0.02444774641044277,2.8203743081946167
GLD,J,6,-0.04996750971158653,0.00614513528078249,0.0007801750117833208,3.4545152005491806
GLD,K,6,-0.049969580265446574,0.00997343781398033,0.0006789618486399262,3.50556549926533
GLD,L,6,0.00795782468789668,0.01170780366426045,0.0237536364053997,2.802517239065369
GLD,M,6,-0.04948752944837242,0.003753033388205013,0.016720960833095037,2.83522563967294
GLD,N,6,-0.049979254912676796,0.021430164289158497,0.0007788243692972419,3.4640882734544625
