Regions,Sectors,PathTimes,KAP
GLD,A,0,1.8263704001725836
GLD,B,0,5.436371843204699
GLD,C,0,1.8613574926733918
GLD,D,0,3.495615760157136
GLD,E,0,2.498377057232752
GLD,F,0,1.5096106607621556
GLD,G,0,1.8870543385674041
GLD,H,0,1.514123793667025
GLD,I,0,2.7189540556058467
GLD,J,0,0.8340132037856351
GLD,K,0,2.645528104887829
GLD,L,0,5.758905123113696
GLD,M,0,1.9878100419389373
GLD,N,0,1.23327620595191
GLD,O,0,1.5785550071540422
GLD,P,0,1.4898532769533963
GLD,Q,0,1.6512816434066924
GLD,R,0,0.48676853076188326
GLD,S,0,1.5054653190931861
GLD,A,1,1.7350814400202583
GLD,B,1,5.16457891651555
GLD,C,1,1.8058839067882484
GLD,D,1,3.3208697542328642
GLD,E,1,2.3735302552010666
GLD,F,1,1.4341584187615093
GLD,G,1,1.792725584243779
GLD,H,1,1.4384387252321393
GLD,I,1,2.5830364127211825
GLD,J,1,0.7923425713015662
GLD,K,1,2.5133097189795293
GLD,L,1,5.4710281673401635
GLD,M,1,1.8884506226707318
GLD,N,1,1.1716299741857261
GLD,O,1,1.49965477545163
GLD,P,1,1.4154325507505179
GLD,Q,1,1.5687607752315107
GLD,R,1,0.46245193595649586
GLD,S,1,1.4302109678864239
GLD,A,2,1.6483569949596468
GLD,B,2,4.9064074075731074
GLD,C,2,2.430307160190325
GLD,D,2,3.1548971145563387
GLD,E,2,2.767247572023301
GLD,F,2,1.3625225321333114
GLD,G,2,1.7031132643365134
GLD,H,2,1.366641221316833
GLD,I,2,2.453922264320163
GLD,J,2,0.7527654061143567
GLD,K,2,2.38774691171157
GLD,L,2,5.353638657986947
GLD,M,2,1.7940736887470736
GLD,N,2,1.1130660513526076
GLD,O,2,1.4246995518148047
GLD,P,2,1.3447477707612565
GLD,Q,2,1.4903958683427407
GLD,R,2,0.4393837312391676
GLD,S,2,1.3587194243370344
GLD,A,3,1.5659742808819659
GLD,B,3,4.661149317245774
GLD,C,3,3.314867504005909
GLD,D,3,2.9973009429222857
